,srmer_co2e,lrmer_co2e,total_cost_enduse,aer_load_co2e
0,567.9,0.0,31.97,0.0
1,566.6,0.0,31.84,0.0
2,566.2,0.0,31.81,0.0
3,566.0,0.0,31.72,0.0
4,566.1,0.0,31.73,0.0
5,567.2,0.0,31.87,0.0
6,568.7,0.0,32.01,0.0
7,1258.3,0.0,27.15,0.0
8,1261.8,0.0,24.47,0.0
9,1283.3,0.0,24.53,0.0
10,1043.4,0.0,24.55,0.0
11,1285.1,0.0,24.56,0.0
12,1044.6,0.0,24.58,0.0
13,10.3,0.0,9.07,0.0
14,1042.9,0.0,24.54,0.0
15,578.8,0.0,32.28,0.0
16,584.0,0.0,32.43,0.0
17,576.3,0.0,32.54,0.0
18,587.0,0.0,32.6,0.0
19,578.4,0.0,32.55,0.0
20,572.1,0.0,32.44,0.0
21,574.0,0.0,31.42,0.0
22,571.0,0.0,31.25,0.0
23,568.2,0.0,31.1,0.0
24,565.4,0.0,30.95,0.0
25,564.9,0.0,30.92,0.0
26,564.8,0.0,30.92,0.0
27,565.4,0.0,30.95,0.0
28,566.3,0.0,31.0,0.0
29,568.4,0.0,31.11,0.0
30,481.8,0.0,31.26,0.0
31,1266.2,0.0,25.26,0.0
32,564.8,0.0,25.32,0.0
33,565.3,0.0,25.34,0.0
34,565.7,0.0,25.36,0.0
35,565.8,0.0,25.36,0.0
36,565.2,0.0,25.34,0.0
37,1268.5,0.0,25.3,0.0
38,1232.8,0.0,25.29,0.0
39,576.4,0.0,31.69,0.0
40,580.3,0.0,31.9,0.0
41,583.5,0.0,32.08,0.0
42,581.0,0.0,31.94,0.0
43,576.5,0.0,31.69,0.0
44,573.9,0.0,31.55,0.0
45,569.7,0.0,30.34,0.0
46,500.1,0.0,30.18,0.0
47,537.9,0.0,30.05,0.0
48,496.9,0.0,29.98,0.0
49,496.4,0.0,29.96,0.0
50,563.9,0.0,29.94,0.0
51,551.3,0.0,29.96,0.0
52,552.5,0.0,30.03,0.0
53,601.2,0.0,30.18,0.0
54,535.1,0.0,30.41,0.0
55,552.8,0.0,30.41,0.0
56,552.6,0.0,30.39,0.0
57,551.7,0.0,30.34,0.0
58,551.4,0.0,30.32,0.0
59,551.0,0.0,30.3,0.0
60,1264.8,0.0,30.3,0.0
61,1264.4,0.0,28.7,0.0
62,1264.4,0.0,30.29,0.0
63,495.7,0.0,30.51,0.0
64,1623.4,0.0,30.74,0.0
65,506.3,0.0,307.08,0.0
66,1650.7,0.0,30.78,0.0
67,1614.3,0.0,30.57,0.0
68,584.2,0.0,30.44,0.0
69,530.5,0.0,27.77,0.0
70,532.2,0.0,27.63,0.0
71,530.1,0.0,27.53,0.0
72,528.9,0.0,27.46,0.0
73,528.4,0.0,27.44,0.0
74,528.3,0.0,27.43,0.0
75,528.7,0.0,27.45,0.0
76,529.7,0.0,27.5,0.0
77,532.5,0.0,27.65,0.0
78,536.4,0.0,27.85,0.0
79,1270.9,0.0,27.87,0.0
80,565.0,0.0,25.78,0.0
81,1280.4,0.0,25.74,0.0
82,1266.3,0.0,25.31,0.0
83,1266.7,0.0,25.32,0.0
84,1267.0,0.0,25.21,0.0
85,1266.3,0.0,25.19,0.0
86,1266.6,0.0,25.2,0.0
87,534.7,0.0,27.99,0.0
88,538.0,0.0,28.16,0.0
89,541.2,0.0,28.81,0.0
90,543.2,0.0,28.2,0.0
91,539.0,0.0,27.99,0.0
92,537.0,0.0,27.88,0.0
93,534.2,0.0,27.65,0.0
94,531.7,0.0,27.51,0.0
95,529.6,0.0,27.4,0.0
96,528.3,0.0,27.34,0.0
97,527.9,0.0,27.32,0.0
98,527.7,0.0,27.31,0.0
99,528.2,0.0,27.33,0.0
100,529.3,0.0,27.39,0.0
101,531.9,0.0,27.53,0.0
102,535.5,0.0,27.71,0.0
103,497.5,0.0,27.85,0.0
104,481.3,0.0,10.57,0.0
105,1163.3,0.0,10.56,0.0
106,10.2,0.0,10.56,0.0
107,480.4,0.0,10.55,0.0
108,1162.9,0.0,10.56,0.0
109,0.0,0.0,1.61,0.0
110,480.4,0.0,10.55,0.0
111,484.3,0.0,27.84,0.0
112,541.5,0.0,28.14,0.0
113,545.4,0.0,29.03,0.0
114,544.0,0.0,28.27,0.0
115,540.3,0.0,28.08,0.0
116,538.8,0.0,28.0,0.0
117,493.0,0.0,30.64,0.0
118,520.8,0.0,30.37,0.0
119,527.5,0.0,30.26,0.0
120,526.3,0.0,30.19,0.0
121,537.1,0.0,30.16,0.0
122,535.0,0.0,30.16,0.0
123,529.0,0.0,30.19,0.0
124,527.6,0.0,30.34,0.0
125,571.0,0.0,30.54,0.0
126,525.6,0.0,30.78,0.0
127,537.3,0.0,30.79,0.0
128,537.1,0.0,30.79,0.0
129,545.1,0.0,30.73,0.0
130,530.8,0.0,30.71,0.0
131,535.0,0.0,30.69,0.0
132,474.9,0.0,30.52,0.0
133,565.3,0.0,27.56,0.0
134,474.8,0.0,30.52,0.0
135,532.1,0.0,30.91,0.0
136,504.5,0.0,32.99,0.0
137,694.5,0.0,1408.32,0.0
138,479.9,0.0,32.77,0.0
139,493.6,0.0,30.88,0.0
140,492.1,0.0,30.78,0.0
141,482.3,0.0,32.31,0.0
142,470.4,0.0,32.14,0.0
143,685.7,0.0,32.04,0.0
144,1266.0,0.0,32.0,0.0
145,1263.1,0.0,31.93,0.0
146,1262.9,0.0,31.92,0.0
147,1262.9,0.0,31.92,0.0
148,498.8,0.0,31.95,0.0
149,1267.3,0.0,32.03,0.0
150,479.9,0.0,32.15,0.0
151,561.9,0.0,27.93,0.0
152,563.8,0.0,28.03,0.0
153,565.3,0.0,28.1,0.0
154,565.7,0.0,28.12,0.0
155,566.0,0.0,29.06,0.0
156,566.0,0.0,28.87,0.0
157,538.6,0.0,28.44,0.0
158,463.1,0.0,32.1,0.0
159,1283.0,0.0,32.43,0.0
160,467.6,0.0,33.85,0.0
161,687.5,0.0,34.26,0.0
162,688.5,0.0,34.4,0.0
163,509.0,0.0,34.08,0.0
164,660.2,0.0,32.99,0.0
165,500.8,0.0,30.9,0.0
166,494.8,0.0,30.76,0.0
167,492.3,0.0,30.6,0.0
168,490.6,0.0,30.49,0.0
169,489.6,0.0,30.43,0.0
170,489.4,0.0,30.42,0.0
171,479.6,0.0,30.43,0.0
172,489.9,0.0,30.45,0.0
173,491.1,0.0,30.52,0.0
174,492.8,0.0,30.63,0.0
175,561.6,0.0,27.08,0.0
176,563.7,0.0,26.95,0.0
177,564.7,0.0,27.23,0.0
178,564.8,0.0,27.24,0.0
179,564.8,0.0,27.23,0.0
180,565.0,0.0,27.25,0.0
181,563.9,0.0,27.19,0.0
182,1435.6,0.0,27.16,0.0
183,496.5,0.0,30.86,0.0
184,475.3,0.0,31.26,0.0
185,508.9,0.0,31.36,0.0
186,616.5,0.0,161.9,0.0
187,509.7,0.0,31.41,0.0
188,564.2,0.0,31.3,0.0
189,631.1,0.0,32.52,0.0
190,502.7,0.0,32.35,0.0
191,520.8,0.0,32.19,0.0
192,1260.8,0.0,32.02,0.0
193,497.1,0.0,32.0,0.0
194,552.3,0.0,31.99,0.0
195,497.6,0.0,32.03,0.0
196,576.8,0.0,32.11,0.0
197,564.3,0.0,32.27,0.0
198,561.7,0.0,32.53,0.0
199,496.4,0.0,32.66,0.0
200,577.3,0.0,32.52,0.0
201,576.4,0.0,32.47,0.0
202,585.1,0.0,32.43,0.0
203,1395.8,0.0,32.41,0.0
204,585.0,0.0,32.42,0.0
205,1582.2,0.0,32.39,0.0
206,575.3,0.0,32.4,0.0
207,627.7,0.0,33.11,0.0
208,438.1,0.0,36.52,0.0
209,1891.6,0.0,1281.81,0.0
210,592.7,0.0,35.89,0.0
211,564.2,0.0,33.47,0.0
212,586.4,0.0,33.36,0.0
213,432.3,0.0,32.49,0.0
214,1844.8,0.0,32.31,0.0
215,428.1,0.0,32.17,0.0
216,427.2,0.0,32.1,0.0
217,426.8,0.0,32.07,0.0
218,426.7,0.0,32.07,0.0
219,427.2,0.0,32.1,0.0
220,428.3,0.0,32.18,0.0
221,430.8,0.0,32.38,0.0
222,562.1,0.0,32.63,0.0
223,555.4,0.0,31.42,0.0
224,1273.7,0.0,29.22,0.0
225,474.7,0.0,29.15,0.0
226,497.4,0.0,29.1,0.0
227,1437.6,0.0,29.08,0.0
228,496.8,0.0,29.07,0.0
229,1435.4,0.0,29.02,0.0
230,1435.5,0.0,29.04,0.0
231,434.5,0.0,32.65,0.0
232,608.6,0.0,37.12,0.0
233,571.2,0.0,839.25,0.0
234,596.4,0.0,37.34,0.0
235,561.5,0.0,35.91,0.0
236,564.7,0.0,35.63,0.0
237,543.4,0.0,35.62,0.0
238,591.5,0.0,35.42,0.0
239,557.6,0.0,35.16,0.0
240,556.3,0.0,35.07,0.0
241,556.0,0.0,35.05,0.0
242,1777.7,0.0,35.21,0.0
243,429.8,0.0,35.25,0.0
244,607.8,0.0,35.35,0.0
